Estado_Civil,Nacionalidad,Desplazado,Género,Edad_Inscripción,Internacional,Calificación_de_la_madre,Calificación_del_padre,Profesión_de_la_madre,Profesión_del_padre,Necesidades_educativas_especiales,Deudor,Matriculas_al_día,Tasa_Desempleo,Tasa_Inflacion,PIB,Modo_de_Aplicación,Orden_Solicitud,Curso,Asistencia_diurnal_nocturna,Titulacion_previa,Beca_Titular,UC_1er_sem_acreditado,UC_1er_sem_matriculado,UC_1er_sem_evaluaciones,UC_1er_sem_aprobados,UC_1er_sem_grado,UC_1er_sem_sinevaluaciones,UC_2do_sem_acreditado,UC_2do_sem_matriculado,UC_2do_sem_evaluaciones,UC_2do_sem_aprobados,UC_2do_sem_grado,UC_2do_sem_sinevaluaciones,Objetivo
1,1,1,1,0,0,1,0,0,0,0,0,0,13.9,-0.3,0.79,0,1,11,1,1,0,1,1,0,1,14,1,1,1,0,1,13.66666667,1,0
1,0,0,0,0,1,1,0,1,1,0,0,1,16.2,0.3,-0.92,1,3,10,1,1,1,1,1,1,1,13.875,1,1,1,0,1,14.14285714,1,0
1,1,1,0,1,0,1,0,0,0,0,1,0,8.9,1.4,3.51,1,1,10,1,1,0,1,1,0,0,11.4,1,1,1,0,0,13.5,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,1,11,1,0,1,1,1,0,1,10.57142857,1,1,1,1,0,11,1,0
1,1,0,0,0,0,1,0,1,0,0,0,1,11.1,0.6,2.02,1,3,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,4,13,1,1,0,1,0,0,0,11.4375,1,1,0,0,0,11.425,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,1,4,14,1,1,1,1,1,1,1,13.375,1,1,1,0,1,12.28571429,1,0
1,1,0,1,1,0,1,0,0,0,0,0,0,8.9,1.4,3.51,1,1,9,1,1,0,1,0,0,0,11.33333333,1,1,0,1,0,13.5,1,0
1,1,1,0,0,0,1,0,0,0,1,0,1,11.1,0.6,2.02,1,6,12,1,1,0,1,0,0,0,13.928,1,1,0,0,0,14.34285714,1,0
1,1,0,0,0,0,1,0,0,0,0,0,0,12.4,0.5,1.79,0,1,15,1,1,0,1,1,0,0,13,1,1,1,0,0,13.8,1,1
1,1,0,0,0,0,1,0,1,1,0,0,1,12.4,0.5,1.79,0,1,3,0,0,1,0,1,0,1,11.5,1,0,1,0,1,13.28571429,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,1,15,1,1,1,1,1,0,0,14,1,1,1,0,0,11,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,1,1,12,1,1,0,1,0,0,0,13.04444444,1,1,0,0,0,13.595,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,1,11,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
1,1,1,1,0,0,1,1,0,0,0,0,1,10.8,1.4,1.74,0,3,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,10.8,1.4,1.74,0,1,5,1,1,0,1,1,0,0,11.4,1,1,1,1,0,10,1,0
1,1,0,1,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,5,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0
0,1,1,1,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,1,12,1,0,0,0,0,0,0,11.9,1,0,0,0,0,11,1,1
1,1,0,1,0,0,1,0,0,0,0,1,1,16.2,0.3,-0.92,1,3,9,1,1,0,1,0,1,0,11.2,1,1,0,0,0,10.75,0,1
1,1,1,1,0,0,1,0,1,0,0,1,1,8.9,1.4,3.51,0,4,15,1,1,1,1,1,0,1,13.66666667,1,1,1,0,1,13.33333333,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,0,1,14,1,1,1,1,0,0,0,10.5,1,1,0,0,0,11.6,1,0
1,1,0,1,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,1,12,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,0,0,0,0,1,1,0,0,0,0,0,1,8.9,1.4,3.51,0,1,8,1,1,0,1,1,0,0,12,0,1,1,0,0,0,1,1
1,1,1,0,0,0,1,0,1,0,0,0,1,12.7,3.7,-1.7,1,1,6,1,1,0,1,0,0,0,14.2,0,1,0,0,0,13.8,1,0
1,1,1,0,0,0,1,0,1,0,0,0,1,16.2,0.3,-0.92,1,4,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,1,1,6,1,1,0,1,1,0,0,14.2,1,1,1,0,0,13.25,1,1
1,1,1,0,1,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,2,9,1,1,1,1,0,0,0,13,1,1,0,0,0,11,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,10.8,1.4,1.74,1,3,15,1,1,0,1,1,0,1,12.66666667,1,1,1,0,1,12.57142857,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,0,1,11,1,1,0,1,1,0,0,11,1,1,1,0,0,11,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,6,13,1,1,0,1,0,0,0,12.1,1,1,0,0,0,0,1,1
1,1,1,0,1,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,3,10,1,1,0,1,1,0,1,13,1,1,1,0,1,13.66666667,1,0
1,1,1,0,0,0,1,1,0,1,0,0,1,12.4,0.5,1.79,0,6,12,1,1,0,1,0,0,0,13.46714286,1,1,0,0,0,15.01111111,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,8.9,1.4,3.51,1,4,9,1,1,0,1,0,0,0,12.4,1,1,0,0,0,14.6,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,6,12,1,1,0,1,0,1,0,14,1,1,0,0,0,0,1,1
